dataset,alpha,experiment,volume_levelset,volume_likelihood,volume_one,volume_ot,coverage_levelset,coverage_likelihood,coverage_one,coverage_ot,ERT_levelset,ERT_likelihood,ERT_one,ERT_ot,WSC_levelset,WSC_likelihood,WSC_one,WSC_ot
rf1,0.1,1,0.93480045,0.9244781,1.0980824,1.7861284286070316,0.8960612691466083,0.8862144420131292,0.8894967177242888,0.9080962800875274,0.0704341626343394,0.1026313691370295,0.1148946250615331,0.0512148062574221,0.698924720287323,0.532608687877655,0.510869562625885,0.7127659320831299
scm20d,0.1,8,4.7393594,4.9010973,5.5577445,6.569171634135885,0.8975501113585747,0.923162583518931,0.9053452115812918,0.94543429844098,0.0262929893265149,0.0556623398599085,0.0761440230466652,0.0463389407944634,0.7333333492279053,0.7802197933197021,0.7333333492279053,0.8222222328186035
biais,0.05,4,2.7125251,2.5906386,3.2304943,4.368258411681534,0.9664948453608248,0.961340206185567,0.9420103092783504,0.9664948453608248,0.0121116727960316,0.001421017425922,0.0163705540827426,0.0143052198563458,0.7948718070983887,0.7948718070983887,0.7179487347602844,0.800000011920929
rf1,0.1,2,0.82406205,0.8158347,1.0436611,1.5999848325398398,0.924507658643326,0.9070021881838074,0.9168490153172868,0.901531728665208,0.0551384289930555,0.0853600084978503,0.0724530245615957,0.0684897695841577,0.7659574747085571,0.5943396091461182,0.6320754885673523,0.7052631378173828
rf1,0.1,4,1.101627,1.0523595,1.8144473,1.924634148105059,0.9059080962800876,0.9037199124726476,0.8960612691466083,0.9070021881838074,0.0199267478044459,0.0772257382952901,0.0710754912887286,0.0457251047018604,0.7096773982048035,0.695652186870575,0.6804123520851135,0.7263157963752747
biais,0.05,0,2.0738437,2.0760465,2.481441,2.9569606661695134,0.934278350515464,0.9381443298969072,0.9497422680412372,0.9097938144329896,0.0165384596305212,0.0202729515264209,0.0204756048624923,0.0454863429217421,0.7179487347602844,0.7179487347602844,0.692307710647583,0.6000000238418579
biais,0.05,6,1.878625,1.8395869,2.4131315,2.85897905557244,0.9458762886597938,0.9484536082474226,0.9510309278350516,0.9471649484536082,0.0077262230891645,0.0054201851027183,0.042279575050518,0.0214185300427492,0.692307710647583,0.7179487347602844,0.738095223903656,0.7435897588729858
rf1,0.1,5,0.62584996,0.62730247,0.81338716,1.4462281614582606,0.901531728665208,0.912472647702407,0.9135667396061268,0.9102844638949672,0.0402450125861553,0.0969290966129457,0.1072083251652241,0.0391605230449506,0.72826087474823,0.6630434989929199,0.6195651888847351,0.695652186870575
rf2,0.1,0,1.1644822,1.1649592,1.6467528,3.143999059980062,0.8971553610503282,0.9048140043763676,0.9004376367614879,0.9168490153172868,0.035191264190037,0.0533789806220507,0.0730643205125002,0.0625893366055496,0.75,0.72826087474823,0.72826087474823,0.760869562625885
rf1,0.1,6,1.1491624,1.061838,1.4622419,1.81541839781226,0.912472647702407,0.8763676148796499,0.8905908096280087,0.9091903719912472,0.0194679793241768,0.0745847686836184,0.0960487714094678,0.0579751500451714,0.75,0.5869565010070801,0.5913978219032288,0.70652174949646
scm1d,0.05,8,4.9846716,4.9070816,6.3421016,5.982149578225032,0.9663608562691132,0.963302752293578,0.9602446483180428,0.9765545361875636,0.0115648073451353,0.0283761616921679,0.0410110936910269,0.0279607488832905,0.8199999928474426,0.7307692170143127,0.6153846383094788,0.8399999737739563
rf1,0.05,3,0.6795468,0.7540179,1.3274344,1.4421009820255624,0.9529540481400438,0.9518599562363238,0.9452954048140044,0.9595185995623632,-0.0097507898838879,0.0436173750846971,0.0483480522326647,0.0285390100944137,0.7708333134651184,0.6304348111152649,0.5869565010070801,0.7708333134651184
scm1d,0.05,4,5.064055,5.0472865,6.607648,5.908093806324616,0.9510703363914372,0.9500509683995922,0.9541284403669724,0.9480122324159022,0.0116456061567677,0.0167605982596894,0.0529669608005795,0.0434870046086352,0.7799999713897705,0.699999988079071,0.6399999856948853,0.7200000286102295
rf1,0.1,8,1.199896,1.1281492,1.896381,2.323915253630721,0.8894967177242888,0.8829321663019694,0.887308533916849,0.926695842450766,0.0337020392733737,0.077047988058876,0.0715726975384456,0.0496775492486213,0.698924720287323,0.5531914830207825,0.6451612710952759,0.739130437374115
